Date,Open,High,Low,Close,Adj Close,Volume
2013-10-15,51.119999,51.529999,50.599998,50.720001,50.720001,3661500
2013-10-16,50.980000,52.930000,50.980000,52.580002,52.580002,5546400
2013-10-17,52.500000,53.099998,52.250000,53.009998,53.009998,3001700
2013-10-18,53.509998,54.150002,53.310001,54.099998,54.099998,4548400
2013-10-21,56.150002,56.240002,54.730000,55.099998,55.099998,4200400
2013-10-22,55.369999,55.500000,53.009998,54.279999,54.279999,5078500
2013-10-23,53.950001,54.040001,52.980000,53.340000,53.340000,2532500
2013-10-24,53.750000,54.540001,53.639999,54.380001,54.380001,3193100
2013-10-25,54.549999,54.889999,53.650002,54.560001,54.560001,2715100
2013-10-28,54.560001,54.810001,52.200001,53.490002,53.490002,4450100
2013-10-29,53.750000,54.090000,52.799999,53.700001,53.700001,3553400
2013-10-30,53.830002,54.110001,52.619999,52.790001,52.790001,4280300
2013-10-31,52.790001,53.709999,52.509998,53.360001,53.360001,3504400
2013-11-01,53.540001,54.630001,53.540001,53.959999,53.959999,4330500
2013-11-04,54.500000,55.669998,54.150002,55.580002,55.580002,4889200
2013-11-05,55.400002,55.709999,54.849998,55.689999,55.689999,4262000
2013-11-06,55.910000,55.950001,54.660000,55.230000,55.230000,4634200
2013-11-07,55.910000,57.240002,54.200001,54.349998,54.349998,6338600
2013-11-08,54.349998,55.549999,54.349998,55.490002,55.490002,4167400
2013-11-11,55.680000,56.139999,55.040001,56.119999,56.119999,3391900
2013-11-12,56.130001,57.500000,55.959999,56.709999,56.709999,6072000
2013-11-13,56.759998,57.759998,56.650002,57.209999,57.209999,4583700
2013-11-14,57.090000,57.689999,56.740002,56.990002,56.990002,4850200
2013-11-15,57.389999,57.889999,56.770000,57.310001,57.310001,5295000
2013-11-18,58.200001,58.369999,55.209999,55.509998,55.509998,15146000
2013-11-19,55.369999,55.369999,52.549999,52.740002,52.740002,16325400
2013-11-20,53.459999,54.799999,53.330002,53.610001,53.610001,7664600
2013-11-21,53.869999,54.509998,53.750000,54.439999,54.439999,5691100
2013-11-22,54.650002,55.090000,54.500000,54.689999,54.689999,3344800
2013-11-25,53.770000,54.139999,51.849998,52.750000,52.750000,8399600
2013-11-26,52.560001,53.139999,52.000000,52.299999,52.299999,5694000
2013-11-27,52.630001,52.900002,51.880001,52.709999,52.709999,3770700
2013-11-29,51.119999,52.599998,50.990002,52.090000,52.090000,5635300
2013-12-02,52.009998,52.290001,51.299999,51.560001,51.560001,4235400
2013-12-03,51.189999,51.799999,51.040001,51.630001,51.630001,3832700
2013-12-04,51.400002,52.619999,51.349998,52.270000,52.270000,4090700
2013-12-05,52.189999,53.150002,52.009998,53.049999,53.049999,4855500
2013-12-06,53.680000,54.150002,53.230000,53.880001,53.880001,4570100
2013-12-09,53.619999,54.009998,52.930000,53.680000,53.680000,3173600
2013-12-10,53.980000,54.540001,53.660000,53.720001,53.720001,3986400
2013-12-11,53.299999,53.480000,51.200001,51.430000,51.430000,6996000
2013-12-12,51.220001,51.619999,50.290001,50.980000,50.980000,5813800
2013-12-13,51.340000,51.799999,50.759998,51.130001,51.130001,4452300
2013-12-16,50.720001,51.230000,50.119999,51.160000,51.160000,6554600
2013-12-17,51.299999,52.450001,50.799999,52.220001,52.220001,6232700
2013-12-18,52.389999,53.410000,51.720001,53.360001,53.360001,5557300
2013-12-19,53.290001,53.950001,52.740002,53.070000,53.070000,3597900
2013-12-20,53.180000,54.209999,53.160000,53.720001,53.720001,5795000
2013-12-23,54.150002,54.750000,53.849998,54.580002,54.580002,4289500
2013-12-24,54.480000,54.970001,54.450001,54.799999,54.799999,1327500
2013-12-26,54.880001,55.169998,54.529999,54.849998,54.849998,1985400
2013-12-27,54.900002,54.939999,54.330002,54.450001,54.450001,1837300
2013-12-30,54.270000,55.240002,53.970001,55.169998,55.169998,3743400
2013-12-31,55.139999,55.549999,54.860001,55.189999,55.189999,3101700
2014-01-02,55.200001,55.209999,54.410000,54.860001,54.860001,2730200
2014-01-03,54.930000,55.389999,54.520000,55.119999,55.119999,1968700
2014-01-06,55.200001,55.240002,54.029999,54.230000,54.230000,2532700
2014-01-07,54.430000,55.119999,54.290001,54.950001,54.950001,2787200
2014-01-08,55.189999,57.130001,54.759998,56.939999,56.939999,7036900
2014-01-09,57.009998,57.009998,55.650002,56.290001,56.290001,4968100
2014-01-10,56.520000,57.040001,55.810001,56.950001,56.950001,3517500
2014-01-13,56.970001,57.369999,55.860001,56.209999,56.209999,5306500
2014-01-14,56.209999,57.680000,55.650002,57.509998,57.509998,4924600
2014-01-15,57.500000,59.849998,57.470001,59.720001,59.720001,8745500
2014-01-16,59.490002,59.650002,58.849998,59.209999,59.209999,5644800
2014-01-17,59.259998,59.910000,58.849998,59.860001,59.860001,4333300
2014-01-21,60.270000,61.070000,59.650002,60.950001,60.950001,6130800
2014-01-22,60.990002,61.450001,60.500000,61.139999,61.139999,3515900
2014-01-23,60.080002,60.150002,58.919998,60.080002,60.080002,4875700
2014-01-24,59.480000,59.560001,58.250000,58.400002,58.400002,4803500
2014-01-27,58.509998,58.669998,56.950001,57.080002,57.080002,5136700
2014-01-28,57.599998,59.430000,57.279999,59.369999,59.369999,5534700
2014-01-29,58.560001,59.220001,57.790001,57.959999,57.959999,4077800
2014-01-30,59.040001,61.490002,58.709999,60.970001,60.970001,5946200
2014-01-31,60.029999,61.259998,60.000000,60.529999,60.529999,4612200
2014-02-03,61.099998,61.200001,58.070000,58.470001,58.470001,5450000
2014-02-04,59.419998,61.349998,59.060001,60.959999,60.959999,5948100
2014-02-05,60.570000,61.880001,59.759998,61.630001,61.630001,4860800
2014-02-06,61.849998,62.750000,61.099998,61.700001,61.700001,5180000
2014-02-07,62.060001,62.669998,61.220001,61.549999,61.549999,7537900
2014-02-10,61.580002,61.700001,60.639999,61.040001,61.040001,5846400
2014-02-11,61.250000,61.799999,61.150002,61.230000,61.230000,6376300
2014-02-12,61.549999,61.860001,61.099998,61.480000,61.480000,4786500
2014-02-13,61.189999,63.320000,61.180000,63.130001,63.130001,4760400
2014-02-14,63.470001,63.540001,62.400002,62.799999,62.799999,3654800
2014-02-18,63.330002,63.939999,62.290001,63.730000,63.730000,3780100
2014-02-19,63.360001,63.959999,62.849998,63.020000,63.020000,4929600
2014-02-20,63.209999,63.250000,61.990002,63.009998,63.009998,5738900
2014-02-21,63.349998,64.650002,63.349998,63.590000,63.590000,5516500
2014-02-24,62.750000,64.330002,61.799999,63.910000,63.910000,5698600
2014-02-25,63.919998,64.000000,63.290001,63.660000,63.660000,4895500
2014-02-26,63.779999,64.739998,62.689999,63.740002,63.740002,7285700
2014-02-27,63.520000,66.349998,63.509998,66.220001,66.220001,9345800
2014-02-28,66.040001,67.000000,60.970001,62.369999,62.369999,18892500
2014-03-03,60.650002,61.709999,59.820000,61.490002,61.490002,9303400
2014-03-04,62.180000,63.369999,62.009998,63.070000,63.070000,7927200
2014-03-05,63.070000,63.750000,62.939999,63.680000,63.680000,5464400
2014-03-06,63.750000,63.869999,62.730000,63.139999,63.139999,3958800
2014-03-07,63.200001,63.360001,59.730000,60.740002,60.740002,11239300
2014-03-10,60.740002,60.980000,59.580002,59.779999,59.779999,6012000
2014-03-11,59.990002,62.360001,59.520000,61.020000,61.020000,9907300
2014-03-12,60.400002,61.529999,59.639999,61.520000,61.520000,5573400
2014-03-13,61.799999,62.169998,58.419998,59.060001,59.060001,9256600
2014-03-14,58.990002,59.290001,57.610001,58.160000,58.160000,6782900
2014-03-17,58.610001,59.270000,58.020000,58.320000,58.320000,6285200
2014-03-18,58.490002,59.630001,57.980000,59.630001,59.630001,6019300
2014-03-19,59.459999,59.799999,57.919998,58.430000,58.430000,4918600
2014-03-20,58.349998,59.380001,57.759998,59.119999,59.119999,4708400
2014-03-21,59.740002,59.910000,56.770000,57.029999,57.029999,10227600
