Date,Open,High,Low,Close,Adj Close,Volume
2014-09-02,28.514214,28.812395,28.481304,28.787464,28.787464,31568434
2014-09-03,28.920597,29.069689,28.671284,28.817881,28.817881,24302540
2014-09-04,28.920597,29.219776,28.881704,29.019327,29.019327,29163850
2014-09-05,29.119055,29.247202,29.017832,29.223766,29.223766,32647388
2014-09-08,29.249695,29.507486,29.234735,29.405268,29.405268,28620362
2014-09-09,29.364380,29.369366,28.920597,28.970961,28.970961,25744488
2014-09-10,28.995394,29.095119,28.768017,29.075174,29.075174,19547521
2014-09-11,28.938549,29.010851,28.734110,28.987913,28.987913,24420864
2014-09-12,28.970463,29.002375,28.644358,28.702198,28.702198,32033708
2014-09-15,28.568565,28.668791,28.332712,28.576544,28.576544,31951483
2014-09-16,28.559589,28.995394,28.554604,28.918104,28.918104,29607064
2014-09-17,28.921097,29.295568,28.859516,29.158445,29.158445,33856699
2014-09-18,29.269640,29.396292,29.169914,29.382830,29.382830,28891103
2014-09-19,29.494024,29.742342,29.394299,29.722397,29.722397,74732617
2014-09-22,29.609707,29.616138,29.093124,29.288090,29.288090,33790518
2014-09-23,29.262161,29.262161,28.970463,28.976944,28.976944,29428575
2014-09-24,28.993399,29.400780,28.946527,29.319004,29.319004,34562632
2014-09-25,29.297066,29.318506,28.630396,28.674274,28.674274,38519466
2014-09-26,28.724138,28.883202,28.654329,28.775995,28.775995,28873054
2014-09-29,28.509228,28.830345,28.480307,28.739098,28.739098,25648224
2014-09-30,28.767519,28.913118,28.564077,28.788960,28.788960,32434806
2014-10-01,28.721645,28.799931,28.272877,28.335705,28.335705,28909153
2014-10-02,28.287836,28.517206,28.088882,28.425957,28.425957,23568530
2014-10-03,28.574051,28.782228,28.546625,28.685246,28.685246,22834521
2014-10-06,28.860764,28.970463,28.643360,28.788462,28.788462,24292512
2014-10-07,28.641365,28.684746,28.109823,28.109823,28.109823,38226664
2014-10-08,28.201075,28.615437,27.798180,28.546625,28.546625,39817018
2014-10-09,28.480806,28.496264,27.876465,27.967216,27.967216,50496258
2014-10-10,27.809649,28.179134,27.128019,27.149960,27.149960,61638766
2014-10-13,27.174891,27.399775,26.582020,26.587503,26.587503,51633371
2014-10-14,26.871225,27.284590,26.585508,26.823357,26.823357,44451708
2014-10-15,26.477804,26.567060,25.844046,26.428940,26.428940,74387672
2014-10-16,25.878948,26.399021,25.679497,26.153694,26.153694,74171079
