Date,Open,High,Low,Close,Adj Close,Volume
2015-07-14,95.699997,95.900002,95.150002,95.269997,91.147339,3148400
2015-07-15,95.510002,95.599998,94.650002,95.250000,91.128212,3969400
2015-07-16,95.750000,95.970001,95.459999,95.820000,91.673546,3100400
2015-07-17,95.559998,96.260002,94.459999,96.080002,91.922302,2726300
2015-07-20,96.559998,97.760002,96.410004,97.260002,93.051224,4621700
2015-07-21,97.199997,97.400002,96.320000,96.709999,92.525040,3836200
2015-07-22,96.300003,97.360001,96.150002,96.879997,92.687668,3809900
2015-07-23,96.900002,96.970001,94.870003,95.160004,91.042122,4896900
2015-07-24,97.300003,97.489998,95.519997,95.830002,91.683121,6798800
2015-07-27,95.470001,95.830002,94.300003,94.389999,90.305443,4538900
2015-07-28,95.070000,95.470001,94.709999,95.160004,91.042122,6528700
2015-07-29,94.400002,97.949997,93.000000,96.730003,92.544174,11420600
2015-07-30,96.639999,98.820000,96.110001,98.410004,94.151474,4407300
2015-07-31,98.650002,98.779999,97.269997,97.400002,93.185173,3956700
2015-08-03,97.739998,97.879997,96.309998,97.440002,93.223457,2989800
2015-08-04,97.449997,98.300003,97.139999,97.300003,93.089508,2976200
2015-08-05,98.080002,98.730003,97.790001,98.269997,94.017532,3306100
2015-08-06,98.559998,98.610001,96.919998,97.160004,92.955566,4109900
2015-08-07,97.089996,97.790001,96.559998,97.769997,93.539162,3114900
2015-08-10,98.370003,99.180000,97.800003,98.080002,93.835754,3445500
2015-08-11,97.199997,97.769997,96.699997,97.199997,92.993835,4178100
2015-08-12,96.559998,97.339996,95.269997,97.040001,92.840744,3924200
2015-08-13,97.290001,97.900002,96.580002,97.230003,93.022545,2440200
2015-08-14,97.230003,98.070000,96.860001,97.889999,93.653954,1849200
2015-08-17,97.559998,97.949997,96.800003,97.860001,93.625275,2423900
2015-08-18,97.680000,98.110001,97.500000,97.599998,93.376526,2215000
2015-08-19,97.150002,97.480003,96.169998,96.599998,92.419785,3737000
2015-08-20,95.970001,96.120003,94.519997,94.559998,90.468079,4884000
2015-08-21,93.529999,93.930000,90.639999,90.680000,86.755981,7992200
2015-08-24,85.500000,90.550003,74.610001,87.830002,84.029305,11374700
2015-08-25,90.830002,90.889999,86.660004,86.820000,83.062996,6600600
2015-08-26,88.910004,91.870003,87.949997,91.709999,87.741402,6591600
2015-08-27,93.150002,94.209999,92.050003,94.050003,89.980148,5435400
2015-08-28,93.690002,94.169998,93.059998,94.080002,90.008850,3136600
2015-08-31,93.419998,93.639999,92.000000,92.370003,88.372841,4963100
2015-09-01,90.059998,91.040001,88.540001,89.050003,85.196495,6341900
2015-09-02,90.160004,90.570000,88.989998,90.430000,86.516792,5175400
2015-09-03,90.989998,92.349998,90.940002,91.650002,87.684006,3617900
2015-09-04,90.750000,90.930000,89.889999,90.529999,86.612457,3595400
2015-09-08,92.209999,93.129997,91.580002,92.900002,88.879898,4176300
2015-09-09,91.199997,93.550003,89.769997,89.970001,86.076706,8118200
2015-09-10,89.800003,90.690002,89.550003,89.680000,85.799248,7370000
2015-09-11,89.510002,91.419998,89.459999,91.349998,87.396980,4572400
2015-09-14,91.279999,91.449997,90.550003,90.940002,87.004730,3740400
2015-09-15,91.279999,92.599998,90.180000,92.110001,88.124107,4670200
2015-09-16,92.320000,92.769997,91.870003,92.730003,88.717255,4128600
2015-09-17,92.650002,94.839996,92.629997,93.209999,89.176476,4627000
2015-09-18,92.050003,93.320000,91.839996,92.150002,88.162354,8342900
2015-09-21,92.870003,94.070000,92.589996,93.050003,89.023407,3998800
2015-09-22,91.730003,92.309998,91.410004,92.070000,88.085831,3457100
2015-09-23,91.910004,92.739998,91.809998,92.139999,88.152786,2557000
