Date,Open,High,Low,Close,Adj Close,Volume
2013-01-22,39.669998,39.919998,39.445000,39.762501,37.165394,6918000
2013-01-23,39.572498,39.990002,39.520000,39.762501,37.165394,7108800
2013-01-24,39.825001,40.042500,39.724998,39.889999,37.284576,6794000
2013-01-25,39.980000,40.035000,39.757500,39.959999,37.350002,6701600
2013-01-28,40.070000,40.145000,39.075001,39.087502,36.534504,13532000
2013-01-29,38.935001,39.272499,38.779999,39.165001,36.606926,11664000
2013-01-30,39.247501,39.772499,38.687500,38.752499,36.221371,18708000
2013-01-31,39.750000,39.875000,39.087502,39.477501,36.899017,16685600
2013-02-01,39.750000,39.869999,39.337502,39.639999,37.050907,12738400
2013-02-04,39.442501,39.599998,39.139999,39.162498,36.604599,10532000
2013-02-05,39.404999,39.900002,39.200001,39.882500,37.277573,11105200
2013-02-06,39.805000,40.220001,39.654999,40.205002,37.579002,15056800
2013-02-07,39.744999,39.947498,39.240002,39.264999,36.700390,20182800
2013-02-08,39.349998,39.735001,39.275002,39.450001,36.873314,12914000
2013-02-11,39.395000,39.542500,38.985001,39.082500,36.529823,11032400
2013-02-12,39.209999,39.424999,39.105000,39.200001,36.639637,9805600
2013-02-13,39.112499,39.347500,38.535000,38.692501,36.241562,13917600
2013-02-14,38.650002,39.162498,38.575001,38.994999,36.524902,12760000
2013-02-15,39.087502,39.520000,38.935001,39.497501,36.995575,17884400
2013-02-19,39.502499,39.697498,39.165001,39.402500,36.906582,13210000
2013-02-20,39.279999,39.402500,38.797501,38.855000,36.393764,15688800
2013-02-21,38.779999,39.572498,38.697498,39.360001,36.866787,14220800
2013-02-22,39.575001,39.895000,39.172501,39.857498,37.332767,11738000
2013-02-25,39.799999,40.087502,38.972500,38.972500,36.503834,11183200
2013-02-26,39.002499,39.647499,39.002499,39.457500,36.958107,11354000
2013-02-27,39.362499,40.025002,39.325001,39.967499,37.435806,8318000
2013-02-28,40.084999,40.084999,39.577499,39.660000,37.147785,11228000
2013-03-01,39.482498,39.715000,39.162498,39.520000,37.016640,13212000
2013-03-04,39.439999,39.884998,39.387501,39.875000,37.349167,6570000
2013-03-05,40.022499,40.445000,39.965000,40.072498,37.534142,10267600
2013-03-06,40.215000,40.424999,40.049999,40.264999,37.714455,7516000
2013-03-07,40.217499,40.445000,39.912498,40.127499,37.585655,8687200
2013-03-08,40.334999,40.349998,39.972500,40.167500,37.623127,9571600
2013-03-11,40.342499,40.400002,40.102501,40.294998,37.742565,6742000
2013-03-12,40.169998,40.242500,39.757500,39.950001,37.419422,8340800
2013-03-13,39.875000,40.099998,39.712502,39.842499,37.318733,11021600
2013-03-14,39.849998,40.267502,39.825001,40.165001,37.620792,14853600
2013-03-15,40.007500,40.160000,39.632500,39.637501,37.126717,17599600
2013-03-18,39.320000,39.794998,39.099998,39.517502,37.014294,15162800
2013-03-19,39.500000,39.837502,38.919998,39.000000,36.529591,17652400
2013-03-20,39.250000,39.992500,39.180000,39.832500,37.309353,16070400
2013-03-21,39.612499,39.932499,39.450001,39.450001,36.951084,14883200
2013-03-22,39.552502,40.040001,39.430000,40.022499,37.487331,18790400
2013-03-25,40.187500,41.070000,40.125000,41.000000,38.402901,19336800
2013-03-26,41.224998,41.945000,41.134998,41.865002,39.213108,17264800
2013-03-27,41.652500,42.307499,41.377499,42.165001,39.494110,13371200
2013-03-28,42.187500,42.740002,42.032501,42.459999,39.770412,12456400
2013-04-01,42.437500,42.747501,41.724998,41.837502,39.187351,13235200
2013-04-02,42.105000,42.224998,41.827499,41.987499,39.327843,9582000
2013-04-03,42.105000,42.132500,41.070000,41.187500,38.578526,16624800
2013-04-04,41.355000,41.632500,41.252499,41.619999,38.983624,8903600
2013-04-05,41.052502,41.355000,40.897499,41.290001,38.674530,7962400
2013-04-08,41.410000,41.592499,41.119999,41.572498,38.939144,6125600
2013-04-09,41.707500,41.720001,41.002499,41.187500,38.578526,6004400
2013-04-10,41.242500,41.825001,41.242500,41.747501,39.103046,8996400
2013-04-11,41.750000,41.974998,41.555000,41.904999,39.250568,6590000
2013-04-12,41.477501,41.707500,41.275002,41.437500,38.812683,7076800
2013-04-15,41.154999,41.220001,40.322498,40.322498,37.768314,10774000
2013-04-16,40.662498,41.200001,40.625000,41.177502,38.569160,10092000
2013-04-17,40.935001,41.007500,40.485001,40.557499,37.988422,9543600
2013-04-18,40.647499,40.847500,40.317501,40.352501,37.796417,21010800
2013-04-19,40.520000,41.027500,40.437500,40.990002,38.393532,7620400
2013-04-22,40.892502,41.087502,40.622501,40.882500,38.292850,5403600
2013-04-23,41.067501,41.419998,40.882500,41.415001,38.791603,6324000
2013-04-24,41.415001,41.892502,41.400002,41.764999,39.119450,7447200
2013-04-25,41.977501,42.619999,41.860001,42.189999,39.517513,9322800
2013-04-26,42.189999,42.400002,41.785000,41.807499,39.159252,6127200
2013-04-29,41.932499,42.125000,41.790001,41.974998,39.316132,10694400
2013-04-30,42.147499,42.474998,42.009998,42.115002,39.447266,12161600
2013-05-01,41.747501,42.064999,40.900002,41.505001,38.875896,12252400
2013-05-02,42.500000,44.915001,42.500000,43.849998,41.072369,30677200
2013-05-03,44.240002,45.209999,44.107498,44.884998,42.041805,15026400
2013-05-06,44.834999,45.192501,44.532501,44.722500,41.889603,13084000
2013-05-07,44.872501,44.965000,44.305000,44.947498,42.100349,11876400
2013-05-08,44.865002,44.875000,44.424999,44.814999,41.976231,14449200
2013-05-09,44.807499,44.970001,44.557499,44.645000,41.817017,11501200
2013-05-10,44.669998,44.755001,44.387501,44.687500,41.856819,13837600
2013-05-13,44.645000,45.110001,44.532501,44.732498,41.898968,12480000
2013-05-14,44.744999,45.372501,44.660000,45.080002,42.224464,16074800
2013-05-15,45.000000,45.447498,44.919998,45.439999,42.639690,13624400
2013-05-16,45.435001,45.435001,44.945000,44.950001,42.179882,9913600
2013-05-17,45.220001,46.145000,45.130001,46.142502,43.298901,13248800
2013-05-20,45.977501,46.224998,45.200001,45.402500,42.604504,21192000
2013-05-21,45.384998,45.672501,45.097500,45.387501,42.590435,13422800
2013-05-22,45.520000,46.105000,45.025002,45.035000,42.259644,19563200
2013-05-23,44.595001,44.877499,44.277500,44.525002,41.781075,16906000
2013-05-24,44.470001,45.275002,44.224998,45.112499,42.332367,12306400
2013-05-28,45.610001,45.634998,44.917500,45.007500,42.233852,9937200
2013-05-29,44.805000,45.049999,44.517502,44.535000,41.790451,7490400
2013-05-30,44.584999,45.497501,44.584999,45.257500,42.468441,9628000
2013-05-31,45.142502,45.349998,44.525002,44.535000,41.790451,12514400
2013-06-03,44.687500,45.169998,44.377499,45.047501,42.271370,15232400
2013-06-04,44.849998,45.437500,44.674999,45.049999,42.273724,13528400
2013-06-05,44.967499,45.047501,44.215000,44.305000,41.574631,12176800
2013-06-06,44.172501,44.855000,44.099998,44.837502,42.074326,14664800
2013-06-07,45.162498,45.250000,44.887501,44.985001,42.212719,13899200
2013-06-10,45.134998,45.785000,44.907501,45.582500,42.773407,13779200
2013-06-11,45.137501,45.487499,44.889999,44.915001,42.147045,7856400
2013-06-12,45.160000,45.160000,44.677502,44.787498,42.027405,9994800
2013-06-13,44.787498,45.689999,44.677502,45.562500,42.754642,9760400
2013-06-14,45.512501,45.619999,45.027500,45.232498,42.444969,7427200
2013-06-17,45.580002,45.930000,45.375000,45.587502,42.778107,14779200
2013-06-18,45.430000,46.307499,45.430000,46.002499,43.167522,7579200
2013-06-19,46.062500,46.282501,45.632500,45.657501,42.843784,12220800
2013-06-20,45.382500,45.619999,44.615002,44.615002,41.865528,15534000
2013-06-21,45.000000,45.375000,44.700001,44.875000,42.109509,17923200
2013-06-24,44.527500,44.869999,43.919998,44.567501,41.820957,15527600
2013-06-25,44.950001,45.345001,44.625000,45.117500,42.337067,12721600
2013-06-26,45.472500,45.785000,45.119999,45.662498,42.848469,10392800
2013-06-27,45.860001,46.250000,45.625000,46.064999,43.226173,11102400
2013-06-28,46.064999,46.180000,45.555000,45.687500,42.871933,12656400
2013-07-01,45.974998,46.865002,45.907501,46.305000,43.451382,11616000
2013-07-02,46.270000,46.759998,46.064999,46.310001,43.456081,8749200
2013-07-03,46.044998,46.860001,45.982498,46.759998,43.878342,4533200
2013-07-05,47.217499,47.715000,46.875000,47.697498,44.758060,8495600
2013-07-08,47.900002,48.192501,47.014999,47.025002,44.127022,19588000
2013-07-09,47.237499,47.382500,46.650002,46.799999,43.915874,23330400
2013-07-10,46.837502,46.952499,46.452499,46.674999,43.798580,15523200
2013-07-11,47.334999,47.514999,46.880001,47.490002,44.563358,14235200
2013-07-12,47.474998,47.682499,47.287498,47.680000,44.741642,7782800
2013-07-15,47.875000,47.957500,47.450001,47.562500,44.631393,14529200
2013-07-16,47.547501,47.682499,47.174999,47.345001,44.427280,7515200
2013-07-17,47.110001,47.487499,47.035000,47.410000,44.488289,11118000
2013-07-18,47.552502,47.849998,47.487499,47.752499,44.809685,5938400
2013-07-19,47.770000,47.997501,47.349998,47.480000,44.553974,9048400
2013-07-22,47.552502,47.827499,47.312500,47.805000,44.858944,7930400
2013-07-23,47.682499,47.867500,47.134998,47.145000,44.239609,11710800
2013-07-24,47.447498,47.462502,46.415001,46.687500,43.810299,13993600
2013-07-25,47.750000,49.000000,47.750000,48.652500,45.654224,21923200
2013-07-26,48.500000,48.650002,47.957500,48.299999,45.323433,8709200
2013-07-29,48.215000,48.372501,47.812500,47.992500,45.034882,5776400
2013-07-30,48.174999,48.299999,47.787498,47.860001,44.910545,13911200
2013-07-31,48.437500,48.724998,42.747501,44.252499,41.525375,90073600
2013-08-01,45.439999,45.439999,43.320000,44.792500,42.032101,74287200
2013-08-02,45.404999,46.022499,45.209999,46.000000,43.165180,21698400
2013-08-05,46.000000,46.285000,45.700001,46.134998,43.291859,11479600
2013-08-06,46.052502,46.077499,45.212502,45.722500,42.904781,19986800
2013-08-07,45.352501,45.500000,44.974998,45.347500,42.552879,15556400
2013-08-08,45.602501,45.639999,44.982498,45.195000,42.409798,9626800
2013-08-09,45.200001,45.337502,44.889999,44.952499,42.182232,10028400
2013-08-12,44.849998,44.994999,44.599998,44.939999,42.170498,13622400
2013-08-13,45.125000,45.160000,44.669998,44.807499,42.046165,11407200
2013-08-14,44.877499,45.372501,44.587502,44.587502,41.916901,15338800
2013-08-15,44.362499,44.372501,43.362499,43.482498,40.878078,17288400
2013-08-16,43.430000,43.682499,43.090000,43.282501,40.690063,12612400
2013-08-19,43.082500,44.222500,43.052502,43.744999,41.124859,11982000
2013-08-20,43.652500,43.817501,43.224998,43.305000,40.711205,14135200
2013-08-21,43.314999,45.375000,43.130001,44.597500,41.926308,30930800
2013-08-22,44.910000,45.357498,44.255001,44.730000,42.050873,10586400
2013-08-23,45.099998,45.147499,44.404999,44.775002,42.093178,9807200
2013-08-26,44.865002,44.865002,43.742500,43.750000,41.129566,13789200
2013-08-27,43.244999,43.770000,43.142502,43.542500,40.934502,12762400
2013-08-28,43.342499,43.947498,43.342499,43.802502,41.178921,15672000
2013-08-29,43.777500,44.320000,43.697498,43.842499,41.216522,9404800
2013-08-30,43.852501,43.875000,43.452499,43.605000,40.993252,9886400
2013-09-03,44.007500,44.599998,43.812500,44.255001,41.604309,12550400
2013-09-04,44.224998,44.470001,43.812500,44.047501,41.409248,9753200
2013-09-05,44.032501,44.174999,43.807499,44.052502,41.413948,7406800
2013-09-06,44.080002,44.472500,43.762501,44.167500,41.522057,6697200
2013-09-09,44.320000,44.662498,44.320000,44.637501,41.963909,10801600
2013-09-10,45.602501,46.162498,45.332500,46.147499,43.383472,19507200
2013-09-11,46.250000,46.632500,45.727501,46.577499,43.787720,11006000
2013-09-12,46.607498,46.952499,46.264999,46.264999,43.493923,14212000
2013-09-13,46.372501,47.325001,46.299999,47.250000,44.419930,16403600
2013-09-16,47.740002,47.770000,47.220001,47.345001,44.509232,11380800
2013-09-17,47.330002,47.974998,47.139999,47.900002,45.030987,10400800
2013-09-18,47.605000,48.500000,47.542500,48.412498,45.512806,10474800
2013-09-19,48.632500,49.500000,48.502499,48.677502,45.761917,14966400
2013-09-20,48.825001,49.707500,48.467499,49.707500,46.730232,57707200
2013-09-23,49.490002,50.215000,49.000000,49.060001,46.121532,19551600
2013-09-24,49.060001,49.200001,48.154999,48.334999,45.439945,15296400
2013-09-25,48.317501,48.500000,47.669998,47.889999,45.021595,10594800
2013-09-26,48.112499,48.625000,47.915001,48.389999,45.491646,9326400
2013-09-27,47.997501,48.427502,47.952499,48.262501,45.371803,7258400
2013-09-30,47.700001,47.990002,47.562500,47.775002,44.913490,9561600
2013-10-01,47.822498,48.402500,47.517502,48.305000,45.411732,9384800
2013-10-02,47.974998,48.250000,47.750000,47.955002,45.082710,8712400
2013-10-03,47.997501,48.027500,46.935001,47.162498,44.337677,19646000
2013-10-04,47.160000,47.787498,47.002499,47.619999,44.767773,9365600
2013-10-07,46.987499,46.987499,46.580002,46.582500,43.792404,11785200
2013-10-08,46.560001,47.095001,45.627499,45.632500,42.899323,16039600
2013-10-09,45.849998,46.174999,45.027500,45.962502,43.209541,13448000
2013-10-10,46.485001,47.279999,46.387501,47.257500,44.426975,10865600
2013-10-11,47.200001,48.049999,46.875000,48.049999,45.172024,11915200
2013-10-14,47.592499,48.447498,47.505001,48.360001,45.463440,8922400
2013-10-15,48.257500,48.605000,47.842499,47.842499,44.976936,10567600
2013-10-16,48.105000,48.952499,47.959999,48.907501,45.978149,10382800
2013-10-17,48.917500,49.687500,48.867500,49.570000,46.600979,12605200
2013-10-18,49.680000,50.247501,49.237499,50.112499,47.110973,14387200
2013-10-21,50.262501,50.419998,49.814999,50.009998,47.014618,11526000
2013-10-22,50.012501,50.669998,49.877499,49.994999,47.000515,12202800
2013-10-23,49.669998,49.777500,49.294998,49.722500,46.744335,7476400
2013-10-24,49.967499,50.845001,49.902500,50.727501,47.689144,8885600
2013-10-25,50.935001,50.974998,50.380001,50.764999,47.724396,11014400
2013-10-28,50.892502,51.125000,50.612499,50.770000,47.729095,6854400
2013-10-29,50.869999,51.312500,50.869999,51.060001,48.001728,8599600
2013-10-30,51.215000,51.224998,50.410000,50.955002,47.903015,11946400
2013-10-31,49.262501,49.724998,48.564999,49.167500,46.222576,24035200
2013-11-01,49.737499,50.242500,49.630001,49.790001,46.807800,13233600
2013-11-04,49.919998,50.000000,49.047501,49.105000,46.163826,11089200
2013-11-05,48.845001,49.492500,48.750000,49.342499,46.387096,11058000
2013-11-06,49.685001,50.047501,49.347500,49.755001,46.774887,8878800
2013-11-07,49.992500,50.090000,49.025002,49.025002,46.088612,10832400
2013-11-08,48.942501,49.615002,48.942501,49.572498,46.603336,11462400
2013-11-11,49.660000,49.924999,49.555000,49.817501,46.833649,8385200
2013-11-12,49.702499,49.794998,49.212502,49.567501,46.598625,9016400
2013-11-13,49.162498,49.945000,49.125000,49.945000,47.048435,8181600
2013-11-14,49.982498,50.057499,49.692501,50.037498,47.135559,10909600
